GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven_java_calculator,com.example,Ops,0,19,0,0,0,5,0,5,0,5
maven_java_calculator,com.example,Calculator,69,0,2,0,18,0,3,0,2,0
maven_java_calculator,com.example,Main,7,0,0,0,3,0,2,0,2,0
